layer,neuron,formula,iou
0,0,((((free OR open) OR support) OR song) OR web),0.20731707317071224
0,1,((((on OR in) OR but) OR see) OR list),0.21411332030800811
0,2,((((day OR good) OR well) OR great) OR new),0.17410615145458197
0,3,((((think OR thought) OR pretty) OR f) OR sort),0.248756218905452
0,4,((((i OR my) OR be) OR good) OR me),0.5049334377447102
0,5,all,3.243087419223101e-05
0,6,((((. OR i) OR the) OR !) OR it),0.2737210813253859
0,7,(((' OR would) OR will) OR &),0.6631788739411727
0,8,show,0.0012898140518075288
0,9,((((i OR in) OR so) OR do) OR no),0.5131889949891225
0,10,.,0.013258167914517631
0,11,(. OR i),0.044049100804111424
0,12,((((to OR the) OR a) OR of) OR for),0.10067311582741739
0,13,((i OR at) OR then),0.1611839172684304
0,14,i,0.0013845237221324054
0,15,((((2 OR 3) OR 5) OR could) OR 1),0.13761467889907897
0,16,((((need OR going) OR way) OR day) OR miss),0.09750765194577908
0,17,no,0.8230088495572794
0,18,((((except OR living) OR finish) OR breakfast) OR side),0.12352941176468167
0,19,(((up OR m) OR j) OR mom),0.13333333333332806
0,20,((i OR it) OR a),0.04675280824354388
0,21,i,0.002149807648789319
0,22,app,0.0008101254706521617
0,23,((((would OR app) OR will) OR going) OR want),0.17570890018029542
0,24,((((it OR do) OR phone) OR sure) OR make),0.552722558340524
0,25,((((have OR am) OR has) OR premium) OR fine),0.5925012333497488
0,26,((((can OR like) OR do) OR m) OR of),0.10859430424647762
0,27,((((it OR but) OR good) OR if) OR have),0.2107440819371891
0,28,((((` OR ') OR task) OR new) OR list),0.4809229377167775
0,29,and,0.0009800800330914989
0,30,((((very OR more) OR list) OR such) OR friends),0.41637751561412795
0,31,((((the OR .) OR to) OR a) OR and),0.2185750183019722
0,32,((((calendar OR track) OR song) OR cool) OR called),0.4769230769229852
0,33,((the OR -) OR had),0.4306624132107256
0,34,((((in OR im) OR into) OR end) OR play),0.8580786026200249
0,35,((((. OR but) OR this) OR me) OR not),0.23896428736856623
0,36,(((notification OR alarm) OR second) OR events),0.14104046242772936
0,37,((((day OR days) OR life) OR apps) OR down),0.5862966175194635
0,38,((((my OR very) OR your) OR u) OR night),0.3982300884955666
0,39,((((a OR on) OR be) OR day) OR when),0.4139176498916396
0,40,((((me OR no) OR too) OR only) OR well),0.4941466420209336
0,41,((((all OR each) OR both) OR front) OR busy),0.6042183622828035
0,42,((((out OR many) OR email) OR edit) OR j),0.1701323251417689
0,43,((((soon OR late) OR else) OR anyone) OR yet),0.2646103896103466
0,44,((((i OR ') OR it) OR !) OR this),0.2866327126993392
0,45,just,0.0006746284984957607
0,46,!,0.0011843525986879521
0,47,for,0.00023682119644436657
0,48,morning,0.5037593984958619
0,49,i,0.08566433566433353
0,50,"((((, OR a) OR it) OR .) OR you)",0.17997948443492956
0,51,((((calendar OR think) OR today) OR than) OR since),0.3662721893490907
0,52,((((app OR day) OR add) OR wait) OR start),0.6759443339959903
0,53,(they OR we),0.03551864286976466
0,54,"((, OR -) OR u)",0.2377999460771033
0,55,(((app OR also) OR add) OR features),0.14073986246146383
0,56,((((as OR back) OR want) OR way) OR here),0.20913926499032376
0,57,((((good OR great) OR more) OR new) OR much),0.18447348193696803
0,58,((((go OR like) OR be) OR love) OR an),0.12718707940780447
0,59,!,0.0013281406204174106
0,60,((((i OR !) OR `) OR () OR go),0.4520221049987412
0,61,((((useful OR part) OR easier) OR changes) OR bit),0.3563218390803574
0,62,((((see OR funny) OR yes) OR summer) OR says),0.17395529640425908
0,63,((((as OR set) OR bit) OR if) OR yet),0.24046184738954615
0,64,(which OR point),0.4259259259257682
0,65,((due OR forest) OR fee),0.06549815498154377
0,66,(' OR want),0.6763978228599369
0,67,((((me OR do) OR want) OR think) OR im),0.16134494436381033
