layer,neuron,formula,iou
0,0,"((((to OR ,) OR .) OR in) OR and)",0.3008018920217276
0,1,(((([POS_NN] OR [POS_PRP]) OR [POS_RB]) OR [POS_IN]) OR [POS_NNP]),0.28174678724416913
0,2,((((. OR [POS_NN]) OR i) OR [POS_IN]) OR [POS_DT]),0.3024203062326918
0,3,((((to OR be) OR this) OR go) OR :),0.3319192395317752
0,4,(((([POS_NN] OR [POS_IN]) OR i) OR [POS_RB]) OR .),0.28806544047414917
0,5,((((music OR something) OR each) OR guys) OR video),0.1542338709677264
0,6,(((([POS_NN] OR .) OR [POS_PRP]) OR [POS_RB]) OR [POS_IN]),0.33787706317586763
0,7,(((([POS_NN] OR .) OR [POS_DT]) OR [POS_IN]) OR [POS_RB]),0.28341823921934384
0,8,((((way OR show) OR habits) OR issue) OR due),0.22028526148968142
0,9,(((([POS_NN] OR .) OR [POS_PRP]) OR [POS_IN]) OR [POS_DT]),0.3351858890726602
0,10,(((([POS_NN] OR .) OR [POS_IN]) OR [POS_PRP]) OR [POS_RB]),0.2766676363310879
0,11,(((([POS_NN] OR .) OR [POS_PRP]) OR [POS_IN]) OR [POS_DT]),0.33991066189692015
0,12,(((([POS_NN] OR [POS_PRP]) OR [POS_IN]) OR [POS_DT]) OR [POS_RB]),0.3093056272586471
0,13,"((((i OR .) OR to) OR it) OR ,)",0.3574375151662208
0,14,((((well OR b) OR here) OR 3) OR home),0.10809018567639019
0,15,(((([POS_NN] OR .) OR [POS_PRP]) OR [POS_IN]) OR [POS_RB]),0.3445618066911209
0,16,(((([POS_NN] OR .) OR [POS_IN]) OR [POS_DT]) OR [POS_RB]),0.33933395820697987
0,17,"((((. OR to) OR ,) OR [POS_IN]) OR and)",0.2894851703281851
0,18,(((([POS_NN] OR [POS_PRP]) OR [POS_NNP]) OR [POS_DT]) OR [POS_JJ]),0.2214875324897886
0,19,((((` OR () OR if) OR than) OR up),0.23819505736981203
0,20,(((([POS_NN] OR [POS_PRP]) OR [POS_IN]) OR [POS_DT]) OR [POS_RB]),0.30427983711850853
0,21,((((` OR app) OR but) OR me) OR -),0.21732729331823208
0,22,(((([POS_NN] OR .) OR [POS_RB]) OR [POS_IN]) OR [POS_NNP]),0.23740866752189158
0,23,((((. OR [POS_NN]) OR [POS_PRP]) OR [POS_DT]) OR [POS_IN]),0.3231858538762954
0,24,((((it OR no) OR do) OR back) OR by),0.3338798454151501
0,25,((((have OR if) OR am) OR tasks) OR has),0.16299244743825103
0,26,(((([POS_NN] OR [POS_RB]) OR [POS_IN]) OR [POS_DT]) OR [POS_JJ]),0.2885235227087739
0,27,((((. OR [POS_NN]) OR [POS_DT]) OR [POS_IN]) OR to),0.2830611425537147
0,28,((((. OR [POS_NN]) OR [POS_IN]) OR [POS_DT]) OR [POS_RB]),0.31990470971133267
0,29,((((but OR like) OR going) OR even) OR than),0.462080631519581
0,30,((((on OR :) OR very) OR more) OR work),0.1941601444912674
0,31,((((the OR to) OR a) OR .) OR and),0.2715946231538587
0,32,((((have OR use) OR work) OR 2) OR much),0.14116222760290387
0,33,((((the OR -) OR [POS_JJ]) OR really) OR what),0.16169937459564304
0,34,((((in OR this) OR well) OR today) OR im),0.22729373700022848
0,35,((((. OR [POS_RB]) OR but) OR this) OR me),0.2027888996272257
0,36,(((([POS_NN] OR to) OR [POS_IN]) OR `) OR [POS_DT]),0.22797176470588193
0,37,((((have OR not) OR day) OR do) OR no),0.22643138007096741
0,38,(((([POS_NN] OR [POS_RB]) OR [POS_IN]) OR [POS_VB]) OR .),0.2518541916735103
0,39,(((([POS_NN] OR it) OR a) OR [POS_JJ]) OR [POS_NNP]),0.2076475660997042
0,40,((((me OR no) OR too) OR only) OR do),0.4027811076480364
